"","klasifikasi","score","text"
"1","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"2","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"3","Negatif",-1," damn joe biden "
"4","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"5","Netral",0," joe biden and congress have infinite money for ukraine  but cant give railroad workers basic demands "
"6","Negatif",-2," newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his cancer"
"7","Negatif",-3," staggering level of multilayered lies from the old goldtoothed rat joe biden right throughout his fifty years in us cong"
"8","Positif",1," joe biden won"
"9","Negatif",-2," newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his cancer"
"10","Negatif",-1," remember that time that  states shut down vote counting until the middle of the night totally coincidentally and then jo"
"11","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"12","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"13","Negatif",-1," the war in ukraine was utterly unnecessary it was caused because joe biden decided to waive sanctions that i wrote to allo"
"14","Netral",0," at the behest of joe biden us senate now using federal law to force railroad workers to accept contracts they voted to reject"
"15","Netral",0," should joe biden take a cognitive test "
"16","Negatif",-3," president joe biden and dr jill biden are hosting their first state dinner tonight since moving into the white house in"
"17","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"18","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"19","Negatif",-2," karine jeanpierre fact check  joe biden has not been to the southern border he opened since he has been president"
"20","Netral",0,"  i was wrong actually i posted about joe bkden account not president biden account my b "
"21","Negatif",-1," after  vowed to release internal  communications on why the joehunter biden laptop story was quashed ex"
"22","Positif",2,"presidents joe biden and emmanuel macron vowed to maintain a united front against russia on thursday amid growing w "
"23","Positif",2," truth that is gonna frustrate some rural folks joe biden is keeping your hospitals open not texas conservatives for whom"
"24","Negatif",-2," newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his cancer"
"25","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"26","Negatif",-1,"  no its because joe biden said two words made in america"
"27","Negatif",-2," actions speak louder than words  no matter how kjp tries to spin it joe bidens actions show us that he is proillegal i"
"28","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"29","Negatif",-2,"  and yet joe biden will imply a black interviewer uses cocaine and tells students at an "
"30","Netral",0," president trump worked for free joe biden is working for china"
"31","Netral",0," joe biden remembers where it all started "
"32","Positif",2," i just know joe bidens bones make the most flavorful of broths"
"33","Negatif",-1,"joe bidens st state dinner photos of first lady jill jennifer garner chrissy teigen and extrastars "
"34","Negatif",-1," dem maine congressman blasts biden over ritzy lobster feast  joe has always been a hypocrite"
"35","Netral",0," like joe biden"
"36","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"37","Negatif",-1," joe bidens dementia is worse "
"38","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"39","Negatif",-3," every day i get an email from joe biden because i am black and he thinks we are all  democrats heres todays email"
"40","Negatif",-1," after  vowed to release internal  communications on why the joehunter biden laptop story was quashed ex"
"41","Netral",0," moreover the  midterms proved joe biden was more popular than the pollsters political pundits and highpaid analy"
"42","Negatif",-2," joe biden is serving lobster at white house while he is trying to shut down the maine lobster industry what a hypocrite"
"43","Netral",0," come on man every human being capable of forming a thought is confident joe biden can not define confide "
"44","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"45","Negatif",-3," president trump imposed tariffs on china withdrew from the prochina who and sanctioned communist officials  joe biden"
"46","Negatif",-1," joe biden is a criminal to include being a pedophile "
"47","Negatif",-2,"shame he talks about joe biden like this "
"48","Negatif",-2," newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his cancer"
"49","Positif",1," why dont they strike oh yeah joe biden wont let them"
"50","Negatif",-1," the war in ukraine was utterly unnecessary it was caused because joe biden decided to waive sanctions that i wrote to allo"
"51","Netral",0,"washington ap  legislation to avert what could have been an economically ruinous freight rail strike won final a "
"52","Netral",0,"washington ap  legislation to avert what could have been an economically ruinous freight rail strike won final a "
"53","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"54","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"55","Negatif",-1," joe biden terrified elon musk promises to make this dirty secret public "
"56","Negatif",-5," weird fact you can oppose putins war infowars gop nazi kanye fascist trump and also oppose joe biden and the dem"
"57","Negatif",-2," biden macron condemn russias war pledge more air defense for ukraine  us president joe biden held a meeting wi"
"58","Negatif",-2," newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his cancer"
"59","Negatif",-1," newt gingrich on joe biden  republicans must learn to quit underestimating   conservatives hostility to biden a"
"60","Negatif",-2," looking fotward to hunter and joe bidens criminal cartell to be exposed"
"61","Netral",0," president trump worked for free joe biden is working for china"
"62","Negatif",-1," after  vowed to release internal  communications on why the joehunter biden laptop story was quashed ex"
"63","Negatif",-3,"joe biden and mr krabs are the same age"
"64","Negatif",-2," newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his cancer"
"65","Negatif",-1," the war in ukraine was utterly unnecessary it was caused because joe biden decided to waive sanctions that i wrote to allo"
"66","Negatif",-1,"joe biden terrified elon musk promises to make this dirty secret public "
"67","Negatif",-1," why cant democrats admit that joe biden caused the border crisis"
"68","Netral",0," s full opening remarks about the horrible treatment of january th protestors at the house judiciary comm"
"69","Positif",1," well that liberal biden man  has not won nothing yet nobody in georgia likes the idea of joe bide "
"70","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
"71","Positif",2," if youre thrilled that joe biden just announced that his administration will protect spirit mountain a sacred indige"
"72","Negatif",-3," this is what joe biden sending our tax dollars to ukraine  abused black people in that country"
"73","Positif",1," is this chris cillizzas final cnn article about kanye west ivanka trump and joe biden  no but please enjoy the paro"
"74","Netral",0," every day men and women drop everything to serve and protect our nation  joe bidens willing to discharge them becau"
"75","Positif",1," yes somebody on your twitter decided they wouldnt let me see what i wanted about joe biden and it was n "
"76","Negatif",-2," newt gingrich said republicans must learn to quit underestimating joe biden though newt was wrong to make his cancer"
"77","Negatif",-1," joe bidens treasury secretary is blaming inflation on you because you spent too much of your own money   thats insane"
